order = 47
 ref0,  ref1,    nR,  nG, nDir
0.000, 0.000,	770,   0, 770
0.010, 0.000,	770,   0, 770
0.020, 0.000,	770,   4, 774
0.030, 0.000,	770,   8, 778
0.040, 0.000,	770,  16, 786
0.050, 0.000,	770,  16, 786
0.060, 0.000,	770,  24, 794
0.070, 0.000,	770,  28, 798
0.080, 0.000,	770,  36, 806
0.090, 0.000,	770,  40, 810
0.100, 0.000,	770,  48, 818
0.110, 0.000,	770,  56, 826
0.120, 0.000,	770,  64, 834
0.130, 0.000,	770,  72, 842
0.140, 0.000,	770,  92, 862
0.150, 0.000,	770,  92, 862
0.160, 0.000,	770, 104, 874
0.170, 0.000,	770, 120, 890
0.180, 0.000,	770, 136, 906
0.190, 0.000,	770, 136, 906
0.200, 0.000,	770, 152, 922
0.000, 0.010,	770,   0, 770
0.020, 0.010,	770,   4, 774
0.030, 0.010,	770,   8, 778
0.040, 0.010,	770,  16, 786
0.050, 0.010,	770,  16, 786
0.060, 0.010,	770,  24, 794
0.070, 0.010,	770,  28, 798
0.080, 0.010,	770,  36, 806
0.090, 0.010,	770,  40, 810
0.100, 0.010,	770,  48, 818
0.110, 0.010,	770,  56, 826
0.120, 0.010,	770,  64, 834
0.130, 0.010,	770,  72, 842
0.140, 0.010,	770,  92, 862
0.150, 0.010,	770,  92, 862
0.160, 0.010,	770, 104, 874
0.170, 0.010,	770, 120, 890
0.180, 0.010,	770, 136, 906
0.190, 0.010,	770, 136, 906
0.200, 0.010,	770, 152, 922
0.000, 0.020,	770,   8, 778
0.030, 0.020,	770,  12, 782
0.040, 0.020,	770,  20, 790
0.050, 0.020,	770,  20, 790
0.060, 0.020,	770,  28, 798
0.070, 0.020,	770,  32, 802
0.080, 0.020,	770,  40, 810
0.090, 0.020,	770,  44, 814
0.100, 0.020,	770,  52, 822
0.110, 0.020,	770,  60, 830
0.120, 0.020,	770,  68, 838
0.130, 0.020,	770,  76, 846
0.140, 0.020,	770,  96, 866
0.150, 0.020,	770,  96, 866
0.160, 0.020,	770, 108, 878
0.170, 0.020,	770, 124, 894
0.180, 0.020,	770, 140, 910
0.190, 0.020,	770, 140, 910
0.200, 0.020,	770, 156, 926
0.000, 0.030,	770,  16, 786
0.040, 0.030,	770,  24, 794
0.050, 0.030,	770,  24, 794
0.060, 0.030,	770,  32, 802
0.070, 0.030,	770,  36, 806
0.080, 0.030,	770,  44, 814
0.090, 0.030,	770,  48, 818
0.100, 0.030,	770,  56, 826
0.110, 0.030,	770,  64, 834
0.120, 0.030,	770,  72, 842
0.130, 0.030,	770,  80, 850
0.140, 0.030,	770, 100, 870
0.150, 0.030,	770, 100, 870
0.160, 0.030,	770, 112, 882
0.170, 0.030,	770, 128, 898
0.180, 0.030,	770, 144, 914
0.190, 0.030,	770, 144, 914
0.200, 0.030,	770, 160, 930
0.000, 0.040,	770,  28, 798
0.050, 0.040,	770,  28, 798
0.060, 0.040,	770,  36, 806
0.070, 0.040,	770,  40, 810
0.080, 0.040,	770,  48, 818
0.090, 0.040,	770,  52, 822
0.100, 0.040,	770,  60, 830
0.110, 0.040,	770,  68, 838
0.120, 0.040,	770,  76, 846
0.130, 0.040,	770,  84, 854
0.140, 0.040,	770, 104, 874
0.150, 0.040,	770, 104, 874
0.160, 0.040,	770, 116, 886
0.170, 0.040,	770, 132, 902
0.180, 0.040,	770, 148, 918
0.190, 0.040,	770, 148, 918
0.200, 0.040,	770, 164, 934
0.000, 0.050,	770,  28, 798
0.060, 0.050,	770,  36, 806
0.070, 0.050,	770,  40, 810
0.080, 0.050,	770,  48, 818
0.090, 0.050,	770,  52, 822
0.100, 0.050,	770,  60, 830
