order = 59
 ref0,  ref1,    nR,  nG, nDir
0.000, 0.000,	1202,   0, 1202
0.010, 0.000,	1202,   4, 1206
0.020, 0.000,	1202,   8, 1210
0.030, 0.000,	1202,  16, 1218
0.040, 0.000,	1202,  16, 1218
0.050, 0.000,	1202,  28, 1230
0.060, 0.000,	1202,  36, 1238
0.070, 0.000,	1202,  40, 1242
0.080, 0.000,	1202,  56, 1258
0.090, 0.000,	1202,  64, 1266
0.100, 0.000,	1202,  72, 1274
0.110, 0.000,	1202,  92, 1294
0.120, 0.000,	1202, 104, 1306
0.130, 0.000,	1202, 120, 1322
0.140, 0.000,	1202, 136, 1338
0.150, 0.000,	1202, 152, 1354
0.160, 0.000,	1202, 172, 1374
0.170, 0.000,	1202, 188, 1390
0.180, 0.000,	1202, 200, 1402
0.190, 0.000,	1202, 232, 1434
0.200, 0.000,	1202, 240, 1442
0.000, 0.010,	1202,   8, 1210
0.020, 0.010,	1202,  12, 1214
0.030, 0.010,	1202,  20, 1222
0.040, 0.010,	1202,  20, 1222
0.050, 0.010,	1202,  32, 1234
0.060, 0.010,	1202,  40, 1242
0.070, 0.010,	1202,  44, 1246
0.080, 0.010,	1202,  60, 1262
0.090, 0.010,	1202,  68, 1270
0.100, 0.010,	1202,  76, 1278
0.110, 0.010,	1202,  96, 1298
0.120, 0.010,	1202, 108, 1310
0.130, 0.010,	1202, 124, 1326
0.140, 0.010,	1202, 140, 1342
0.150, 0.010,	1202, 156, 1358
0.160, 0.010,	1202, 176, 1378
0.170, 0.010,	1202, 192, 1394
0.180, 0.010,	1202, 204, 1406
0.190, 0.010,	1202, 236, 1438
0.200, 0.010,	1202, 244, 1446
0.000, 0.020,	1202,  16, 1218
0.030, 0.020,	1202,  24, 1226
0.040, 0.020,	1202,  24, 1226
0.050, 0.020,	1202,  36, 1238
0.060, 0.020,	1202,  44, 1246
0.070, 0.020,	1202,  48, 1250
0.080, 0.020,	1202,  64, 1266
0.090, 0.020,	1202,  72, 1274
0.100, 0.020,	1202,  80, 1282
0.110, 0.020,	1202, 100, 1302
0.120, 0.020,	1202, 112, 1314
0.130, 0.020,	1202, 128, 1330
0.140, 0.020,	1202, 144, 1346
0.150, 0.020,	1202, 160, 1362
0.160, 0.020,	1202, 180, 1382
0.170, 0.020,	1202, 196, 1398
0.180, 0.020,	1202, 208, 1410
0.190, 0.020,	1202, 240, 1442
0.200, 0.020,	1202, 248, 1450
0.000, 0.030,	1202,  28, 1230
0.040, 0.030,	1202,  28, 1230
0.050, 0.030,	1202,  40, 1242
0.060, 0.030,	1202,  48, 1250
0.070, 0.030,	1202,  52, 1254
0.080, 0.030,	1202,  68, 1270
0.090, 0.030,	1202,  76, 1278
0.100, 0.030,	1202,  84, 1286
0.110, 0.030,	1202, 104, 1306
0.120, 0.030,	1202, 116, 1318
0.130, 0.030,	1202, 132, 1334
0.140, 0.030,	1202, 148, 1350
0.150, 0.030,	1202, 164, 1366
0.160, 0.030,	1202, 184, 1386
0.170, 0.030,	1202, 200, 1402
0.180, 0.030,	1202, 212, 1414
0.190, 0.030,	1202, 244, 1446
0.200, 0.030,	1202, 252, 1454
0.000, 0.040,	1202,  28, 1230
0.050, 0.040,	1202,  40, 1242
0.060, 0.040,	1202,  48, 1250
0.070, 0.040,	1202,  52, 1254
0.080, 0.040,	1202,  68, 1270
0.090, 0.040,	1202,  76, 1278
0.100, 0.040,	1202,  84, 1286
0.110, 0.040,	1202, 104, 1306
0.120, 0.040,	1202, 116, 1318
0.130, 0.040,	1202, 132, 1334
0.140, 0.040,	1202, 148, 1350
0.150, 0.040,	1202, 164, 1366
0.160, 0.040,	1202, 184, 1386
0.170, 0.040,	1202, 200, 1402
0.180, 0.040,	1202, 212, 1414
0.190, 0.040,	1202, 244, 1446
0.200, 0.040,	1202, 252, 1454
0.000, 0.050,	1202,  48, 1250
0.060, 0.050,	1202,  56, 1258
0.070, 0.050,	1202,  60, 1262
0.080, 0.050,	1202,  76, 1278
0.090, 0.050,	1202,  84, 1286
0.100, 0.050,	1202,  92, 1294
0.110, 0.050,	1202, 112, 1314
0.120, 0.050,	1202, 124, 1326
0.130, 0.050,	1202, 140, 1342
0.140, 0.050,	1202, 156, 1358
0.150, 0.050,	1202, 172, 1374
0.160, 0.050,	1202, 192, 1394
0.170, 0.050,	1202, 208, 1410
0.180, 0.050,	1202, 220, 1422
0.190, 0.050,	1202, 252, 1454
0.200, 0.050,	1202, 260, 1462
0.000, 0.060,	1202,  60, 1262
0.070, 0.060,	1202,  64, 1266
0.080, 0.060,	1202,  80, 1282
0.090, 0.060,	1202,  88, 1290
0.100, 0.060,	1202,  96, 1298
0.110, 0.060,	1202, 116, 1318
0.120, 0.060,	1202, 128, 1330
0.130, 0.060,	1202, 144, 1346
0.140, 0.060,	1202, 160, 1362
0.150, 0.060,	1202, 176, 1378
0.160, 0.060,	1202, 196, 1398
0.170, 0.060,	1202, 212, 1414
0.180, 0.060,	1202, 224, 1426
0.190, 0.060,	1202, 256, 1458
0.200, 0.060,	1202, 264, 1466
0.000, 0.070,	1202,  68, 1270
0.080, 0.070,	1202,  84, 1286
0.090, 0.070,	1202,  92, 1294
0.100, 0.070,	1202, 100, 1302
0.110, 0.070,	1202, 120, 1322
0.120, 0.070,	1202, 132, 1334
0.130, 0.070,	1202, 148, 1350
0.140, 0.070,	1202, 164, 1366
0.150, 0.070,	1202, 180, 1382
0.160, 0.070,	1202, 200, 1402
0.170, 0.070,	1202, 216, 1418
0.180, 0.070,	1202, 228, 1430
0.190, 0.070,	1202, 260, 1462
0.200, 0.070,	1202, 268, 1470
0.000, 0.080,	1202,  92, 1294
0.090, 0.080,	1202, 100, 1302
0.100, 0.080,	1202, 108, 1310
0.110, 0.080,	1202, 128, 1330
0.120, 0.080,	1202, 140, 1342
0.130, 0.080,	1202, 156, 1358
0.140, 0.080,	1202, 172, 1374
0.150, 0.080,	1202, 188, 1390
0.160, 0.080,	1202, 208, 1410
0.170, 0.080,	1202, 224, 1426
0.180, 0.080,	1202, 236, 1438
0.190, 0.080,	1202, 268, 1470
0.200, 0.080,	1202, 276, 1478
0.000, 0.090,	1202, 104, 1306
0.100, 0.090,	1202, 112, 1314
0.110, 0.090,	1202, 132, 1334
0.120, 0.090,	1202, 144, 1346
0.130, 0.090,	1202, 160, 1362
0.140, 0.090,	1202, 176, 1378
0.150, 0.090,	1202, 192, 1394
0.160, 0.090,	1202, 212, 1414
0.170, 0.090,	1202, 228, 1430
0.180, 0.090,	1202, 240, 1442
0.190, 0.090,	1202, 272, 1474
0.200, 0.090,	1202, 280, 1482
0.000, 0.100,	1202, 120, 1322
0.110, 0.100,	1202, 140, 1342
0.120, 0.100,	1202, 152, 1354
0.130, 0.100,	1202, 168, 1370
0.140, 0.100,	1202, 184, 1386
0.150, 0.100,	1202, 200, 1402
0.160, 0.100,	1202, 220, 1422
0.170, 0.100,	1202, 236, 1438
0.180, 0.100,	1202, 248, 1450
0.190, 0.100,	1202, 280, 1482
0.200, 0.100,	1202, 288, 1490
0.000, 0.110,	1202, 148, 1350
0.120, 0.110,	1202, 160, 1362
0.130, 0.110,	1202, 176, 1378
0.140, 0.110,	1202, 192, 1394
0.150, 0.110,	1202, 208, 1410
0.160, 0.110,	1202, 228, 1430
0.170, 0.110,	1202, 244, 1446
0.180, 0.110,	1202, 256, 1458
0.190, 0.110,	1202, 288, 1490
0.200, 0.110,	1202, 296, 1498
0.000, 0.120,	1202, 168, 1370
0.130, 0.120,	1202, 184, 1386
0.140, 0.120,	1202, 200, 1402
0.150, 0.120,	1202, 216, 1418
0.160, 0.120,	1202, 236, 1438
0.170, 0.120,	1202, 252, 1454
0.180, 0.120,	1202, 264, 1466
0.190, 0.120,	1202, 296, 1498
0.200, 0.120,	1202, 304, 1506
0.000, 0.130,	1202, 192, 1394
0.140, 0.130,	1202, 208, 1410
0.150, 0.130,	1202, 224, 1426
0.160, 0.130,	1202, 244, 1446
0.170, 0.130,	1202, 260, 1462
0.180, 0.130,	1202, 272, 1474
0.190, 0.130,	1202, 304, 1506
0.200, 0.130,	1202, 312, 1514
0.000, 0.140,	1202, 216, 1418
0.150, 0.140,	1202, 232, 1434
0.160, 0.140,	1202, 252, 1454
0.170, 0.140,	1202, 268, 1470
0.180, 0.140,	1202, 280, 1482
0.190, 0.140,	1202, 312, 1514
0.200, 0.140,	1202, 320, 1522
0.000, 0.150,	1202, 244, 1446
0.160, 0.150,	1202, 264, 1466
0.170, 0.150,	1202, 280, 1482
0.180, 0.150,	1202, 292, 1494
0.190, 0.150,	1202, 324, 1526
0.200, 0.150,	1202, 332, 1534
0.000, 0.160,	1202, 272, 1474
0.170, 0.160,	1202, 288, 1490
0.180, 0.160,	1202, 300, 1502
0.190, 0.160,	1202, 332, 1534
0.200, 0.160,	1202, 340, 1542
0.000, 0.170,	1202, 296, 1498
0.180, 0.170,	1202, 308, 1510
0.190, 0.170,	1202, 340, 1542
0.200, 0.170,	1202, 348, 1550
0.000, 0.180,	1202, 320, 1522
0.190, 0.180,	1202, 352, 1554
0.200, 0.180,	1202, 360, 1562
0.000, 0.190,	1202, 364, 1566
0.200, 0.190,	1202, 372, 1574
0.000, 0.200,	1202, 380, 1582
