order = 19
 ref0,  ref1,  ref2,    nR,  nG, nDir
0.000, 0.000, 0.000,	146,   0, 146
0.010, 0.000, 0.000,	146,   0, 146
0.020, 0.000, 0.000,	146,   0, 146
0.030, 0.000, 0.000,	146,   0, 146
0.040, 0.000, 0.000,	146,   4, 150
0.050, 0.000, 0.000,	146,   4, 150
0.060, 0.000, 0.000,	146,   4, 150
0.070, 0.000, 0.000,	146,   4, 150
0.080, 0.000, 0.000,	146,   4, 150
0.090, 0.000, 0.000,	146,   8, 154
0.100, 0.000, 0.000,	146,   8, 154
0.110, 0.000, 0.000,	146,   8, 154
0.120, 0.000, 0.000,	146,  12, 158
0.130, 0.000, 0.000,	146,  12, 158
0.140, 0.000, 0.000,	146,  20, 166
0.150, 0.000, 0.000,	146,  20, 166
0.160, 0.000, 0.000,	146,  20, 166
0.170, 0.000, 0.000,	146,  20, 166
0.180, 0.000, 0.000,	146,  20, 166
0.190, 0.000, 0.000,	146,  24, 170
0.200, 0.000, 0.000,	146,  24, 170
0.010, 0.010, 0.000,	146,   0, 146
0.020, 0.010, 0.000,	146,   0, 146
0.030, 0.010, 0.000,	146,   0, 146
0.040, 0.010, 0.000,	146,   4, 150
0.050, 0.010, 0.000,	146,   4, 150
0.060, 0.010, 0.000,	146,   4, 150
0.070, 0.010, 0.000,	146,   4, 150
0.080, 0.010, 0.000,	146,   4, 150
0.090, 0.010, 0.000,	146,   8, 154
0.100, 0.010, 0.000,	146,   8, 154
0.110, 0.010, 0.000,	146,   8, 154
0.120, 0.010, 0.000,	146,  12, 158
0.130, 0.010, 0.000,	146,  12, 158
0.140, 0.010, 0.000,	146,  20, 166
0.150, 0.010, 0.000,	146,  20, 166
0.160, 0.010, 0.000,	146,  20, 166
0.170, 0.010, 0.000,	146,  20, 166
0.180, 0.010, 0.000,	146,  20, 166
0.190, 0.010, 0.000,	146,  24, 170
0.200, 0.010, 0.000,	146,  24, 170
0.020, 0.020, 0.000,	146,   0, 146
0.030, 0.020, 0.000,	146,   0, 146
0.040, 0.020, 0.000,	146,   4, 150
0.050, 0.020, 0.000,	146,   4, 150
0.060, 0.020, 0.000,	146,   4, 150
0.070, 0.020, 0.000,	146,   4, 150
0.080, 0.020, 0.000,	146,   4, 150
0.090, 0.020, 0.000,	146,   8, 154
