order = 41
 ref0,  ref1,    nR,  nG, nDir
0.000, 0.000,	590,   0, 590
0.010, 0.000,	590,   0, 590
0.020, 0.000,	590,   4, 594
0.030, 0.000,	590,   4, 594
0.040, 0.000,	590,   8, 598
0.050, 0.000,	590,  16, 606
0.060, 0.000,	590,  16, 606
0.070, 0.000,	590,  24, 614
0.080, 0.000,	590,  28, 618
0.090, 0.000,	590,  36, 626
0.100, 0.000,	590,  36, 626
0.110, 0.000,	590,  40, 630
0.120, 0.000,	590,  56, 646
0.130, 0.000,	590,  56, 646
0.140, 0.000,	590,  64, 654
0.150, 0.000,	590,  72, 662
0.160, 0.000,	590,  84, 674
0.170, 0.000,	590,  92, 682
0.180, 0.000,	590, 100, 690
0.190, 0.000,	590, 112, 702
0.200, 0.000,	590, 120, 710
0.000, 0.010,	590,   0, 590
0.020, 0.010,	590,   4, 594
0.030, 0.010,	590,   4, 594
0.040, 0.010,	590,   8, 598
0.050, 0.010,	590,  16, 606
0.060, 0.010,	590,  16, 606
0.070, 0.010,	590,  24, 614
0.080, 0.010,	590,  28, 618
0.090, 0.010,	590,  36, 626
0.100, 0.010,	590,  36, 626
0.110, 0.010,	590,  40, 630
0.120, 0.010,	590,  56, 646
0.130, 0.010,	590,  56, 646
0.140, 0.010,	590,  64, 654
0.150, 0.010,	590,  72, 662
0.160, 0.010,	590,  84, 674
0.170, 0.010,	590,  92, 682
0.180, 0.010,	590, 100, 690
0.190, 0.010,	590, 112, 702
0.200, 0.010,	590, 120, 710
0.000, 0.020,	590,   8, 598
0.030, 0.020,	590,   8, 598
0.040, 0.020,	590,  12, 602
0.050, 0.020,	590,  20, 610
0.060, 0.020,	590,  20, 610
0.070, 0.020,	590,  28, 618
0.080, 0.020,	590,  32, 622
0.090, 0.020,	590,  40, 630
0.100, 0.020,	590,  40, 630
0.110, 0.020,	590,  44, 634
0.120, 0.020,	590,  60, 650
0.130, 0.020,	590,  60, 650
0.140, 0.020,	590,  68, 658
0.150, 0.020,	590,  76, 666
0.160, 0.020,	590,  88, 678
0.170, 0.020,	590,  96, 686
0.180, 0.020,	590, 104, 694
0.190, 0.020,	590, 116, 706
0.200, 0.020,	590, 124, 714
0.000, 0.030,	590,   8, 598
0.040, 0.030,	590,  12, 602
0.050, 0.030,	590,  20, 610
0.060, 0.030,	590,  20, 610
0.070, 0.030,	590,  28, 618
0.080, 0.030,	590,  32, 622
0.090, 0.030,	590,  40, 630
0.100, 0.030,	590,  40, 630
0.110, 0.030,	590,  44, 634
0.120, 0.030,	590,  60, 650
0.130, 0.030,	590,  60, 650
0.140, 0.030,	590,  68, 658
0.150, 0.030,	590,  76, 666
0.160, 0.030,	590,  88, 678
0.170, 0.030,	590,  96, 686
0.180, 0.030,	590, 104, 694
0.190, 0.030,	590, 116, 706
0.200, 0.030,	590, 124, 714
0.000, 0.040,	590,  16, 606
0.050, 0.040,	590,  24, 614
0.060, 0.040,	590,  24, 614
0.070, 0.040,	590,  32, 622
0.080, 0.040,	590,  36, 626
0.090, 0.040,	590,  44, 634
0.100, 0.040,	590,  44, 634
0.110, 0.040,	590,  48, 638
0.120, 0.040,	590,  64, 654
0.130, 0.040,	590,  64, 654
0.140, 0.040,	590,  72, 662
0.150, 0.040,	590,  80, 670
0.160, 0.040,	590,  92, 682
0.170, 0.040,	590, 100, 690
0.180, 0.040,	590, 108, 698
0.190, 0.040,	590, 120, 710
0.200, 0.040,	590, 128, 718
0.000, 0.050,	590,  28, 618
0.060, 0.050,	590,  28, 618
0.070, 0.050,	590,  36, 626
0.080, 0.050,	590,  40, 630
0.090, 0.050,	590,  48, 638
0.100, 0.050,	590,  48, 638
0.110, 0.050,	590,  52, 642
0.120, 0.050,	590,  68, 658
0.130, 0.050,	590,  68, 658
0.140, 0.050,	590,  76, 666
0.150, 0.050,	590,  84, 674
0.160, 0.050,	590,  96, 686
0.170, 0.050,	590, 104, 694
0.180, 0.050,	590, 112, 702
0.190, 0.050,	590, 124, 714
0.200, 0.050,	590, 132, 722
0.000, 0.060,	590,  28, 618
0.070, 0.060,	590,  36, 626
0.080, 0.060,	590,  40, 630
0.090, 0.060,	590,  48, 638
0.100, 0.060,	590,  48, 638
0.110, 0.060,	590,  52, 642
0.120, 0.060,	590,  68, 658
0.130, 0.060,	590,  68, 658
0.140, 0.060,	590,  76, 666
0.150, 0.060,	590,  84, 674
0.160, 0.060,	590,  96, 686
0.170, 0.060,	590, 104, 694
0.180, 0.060,	590, 112, 702
0.190, 0.060,	590, 124, 714
0.200, 0.060,	590, 132, 722
0.000, 0.070,	590,  44, 634
0.080, 0.070,	590,  48, 638
0.090, 0.070,	590,  56, 646
0.100, 0.070,	590,  56, 646
0.110, 0.070,	590,  60, 650
0.120, 0.070,	590,  76, 666
0.130, 0.070,	590,  76, 666
0.140, 0.070,	590,  84, 674
0.150, 0.070,	590,  92, 682
0.160, 0.070,	590, 104, 694
0.170, 0.070,	590, 112, 702
0.180, 0.070,	590, 120, 710
0.190, 0.070,	590, 132, 722
0.200, 0.070,	590, 140, 730
0.000, 0.080,	590,  48, 638
0.090, 0.080,	590,  56, 646
0.100, 0.080,	590,  56, 646
0.110, 0.080,	590,  60, 650
0.120, 0.080,	590,  76, 666
0.130, 0.080,	590,  76, 666
0.140, 0.080,	590,  84, 674
0.150, 0.080,	590,  92, 682
0.160, 0.080,	590, 104, 694
0.170, 0.080,	590, 112, 702
0.180, 0.080,	590, 120, 710
0.190, 0.080,	590, 132, 722
0.200, 0.080,	590, 140, 730
0.000, 0.090,	590,  60, 650
0.100, 0.090,	590,  60, 650
0.110, 0.090,	590,  64, 654
0.120, 0.090,	590,  80, 670
0.130, 0.090,	590,  80, 670
0.140, 0.090,	590,  88, 678
0.150, 0.090,	590,  96, 686
0.160, 0.090,	590, 108, 698
0.170, 0.090,	590, 116, 706
0.180, 0.090,	590, 124, 714
0.190, 0.090,	590, 136, 726
0.200, 0.090,	590, 144, 734
0.000, 0.100,	590,  60, 650
0.110, 0.100,	590,  64, 654
0.120, 0.100,	590,  80, 670
0.130, 0.100,	590,  80, 670
0.140, 0.100,	590,  88, 678
0.150, 0.100,	590,  96, 686
0.160, 0.100,	590, 108, 698
0.170, 0.100,	590, 116, 706
0.180, 0.100,	590, 124, 714
0.190, 0.100,	590, 136, 726
0.200, 0.100,	590, 144, 734
0.000, 0.110,	590,  68, 658
0.120, 0.110,	590,  84, 674
0.130, 0.110,	590,  84, 674
0.140, 0.110,	590,  92, 682
0.150, 0.110,	590, 100, 690
0.160, 0.110,	590, 112, 702
0.170, 0.110,	590, 120, 710
0.180, 0.110,	590, 128, 718
0.190, 0.110,	590, 140, 730
0.200, 0.110,	590, 148, 738
0.000, 0.120,	590,  92, 682
0.130, 0.120,	590,  92, 682
0.140, 0.120,	590, 100, 690
0.150, 0.120,	590, 108, 698
0.160, 0.120,	590, 120, 710
0.170, 0.120,	590, 128, 718
0.180, 0.120,	590, 136, 726
0.190, 0.120,	590, 148, 738
0.200, 0.120,	590, 156, 746
0.000, 0.130,	590,  92, 682
0.140, 0.130,	590, 100, 690
0.150, 0.130,	590, 108, 698
0.160, 0.130,	590, 120, 710
0.170, 0.130,	590, 128, 718
0.180, 0.130,	590, 136, 726
0.190, 0.130,	590, 148, 738
0.200, 0.130,	590, 156, 746
0.000, 0.140,	590, 104, 694
0.150, 0.140,	590, 112, 702
0.160, 0.140,	590, 124, 714
0.170, 0.140,	590, 132, 722
0.180, 0.140,	590, 140, 730
0.190, 0.140,	590, 152, 742
0.200, 0.140,	590, 160, 750
0.000, 0.150,	590, 120, 710
0.160, 0.150,	590, 132, 722
0.170, 0.150,	590, 140, 730
0.180, 0.150,	590, 148, 738
0.190, 0.150,	590, 160, 750
0.200, 0.150,	590, 168, 758
0.000, 0.160,	590, 140, 730
0.170, 0.160,	590, 148, 738
0.180, 0.160,	590, 156, 746
0.190, 0.160,	590, 168, 758
0.200, 0.160,	590, 176, 766
0.000, 0.170,	590, 148, 738
0.180, 0.170,	590, 156, 746
0.190, 0.170,	590, 168, 758
0.200, 0.170,	590, 176, 766
0.000, 0.180,	590, 160, 750
0.190, 0.180,	590, 172, 762
0.200, 0.180,	590, 180, 770
0.000, 0.190,	590, 184, 774
0.200, 0.190,	590, 192, 782
0.000, 0.200,	590, 192, 782
