order = 53
 ref0,  ref1,  ref2,    nR,  nG, nDir
0.000, 0.000, 0.000,	974,   0, 974
0.010, 0.000, 0.000,	974,   4, 978
0.020, 0.000, 0.000,	974,   4, 978
0.030, 0.000, 0.000,	974,   8, 982
0.040, 0.000, 0.000,	974,  16, 990
0.050, 0.000, 0.000,	974,  24, 998
0.060, 0.000, 0.000,	974,  28, 1002
0.070, 0.000, 0.000,	974,  36, 1010
0.080, 0.000, 0.000,	974,  40, 1014
0.090, 0.000, 0.000,	974,  56, 1030
0.100, 0.000, 0.000,	974,  64, 1038
0.110, 0.000, 0.000,	974,  72, 1046
0.120, 0.000, 0.000,	974,  92, 1066
0.130, 0.000, 0.000,	974,  92, 1066
0.140, 0.000, 0.000,	974, 112, 1086
0.150, 0.000, 0.000,	974, 120, 1094
0.160, 0.000, 0.000,	974, 136, 1110
0.170, 0.000, 0.000,	974, 152, 1126
0.180, 0.000, 0.000,	974, 172, 1146
0.190, 0.000, 0.000,	974, 180, 1154
0.200, 0.000, 0.000,	974, 192, 1166
0.010, 0.010, 0.000,	974,   8, 982
0.020, 0.010, 0.000,	974,   8, 982
0.030, 0.010, 0.000,	974,  12, 986
0.040, 0.010, 0.000,	974,  20, 994
0.050, 0.010, 0.000,	974,  28, 1002
0.060, 0.010, 0.000,	974,  32, 1006
0.070, 0.010, 0.000,	974,  40, 1014
0.080, 0.010, 0.000,	974,  44, 1018
0.090, 0.010, 0.000,	974,  60, 1034
0.100, 0.010, 0.000,	974,  68, 1042
0.110, 0.010, 0.000,	974,  76, 1050
0.120, 0.010, 0.000,	974,  96, 1070
0.130, 0.010, 0.000,	974,  96, 1070
0.140, 0.010, 0.000,	974, 116, 1090
0.150, 0.010, 0.000,	974, 124, 1098
0.160, 0.010, 0.000,	974, 140, 1114
0.170, 0.010, 0.000,	974, 156, 1130
0.180, 0.010, 0.000,	974, 176, 1150
0.190, 0.010, 0.000,	974, 184, 1158
0.200, 0.010, 0.000,	974, 196, 1170
0.020, 0.020, 0.000,	974,   8, 982
0.030, 0.020, 0.000,	974,  12, 986
0.040, 0.020, 0.000,	974,  20, 994
0.050, 0.020, 0.000,	974,  28, 1002
0.060, 0.020, 0.000,	974,  32, 1006
0.070, 0.020, 0.000,	974,  40, 1014
0.080, 0.020, 0.000,	974,  44, 1018
0.090, 0.020, 0.000,	974,  60, 1034
0.100, 0.020, 0.000,	974,  68, 1042
0.110, 0.020, 0.000,	974,  76, 1050
0.120, 0.020, 0.000,	974,  96, 1070
0.130, 0.020, 0.000,	974,  96, 1070
0.140, 0.020, 0.000,	974, 116, 1090
0.150, 0.020, 0.000,	974, 124, 1098
0.160, 0.020, 0.000,	974, 140, 1114
0.170, 0.020, 0.000,	974, 156, 1130
0.180, 0.020, 0.000,	974, 176, 1150
0.190, 0.020, 0.000,	974, 184, 1158
0.200, 0.020, 0.000,	974, 196, 1170
0.030, 0.030, 0.000,	974,  16, 990
0.040, 0.030, 0.000,	974,  24, 998
0.050, 0.030, 0.000,	974,  32, 1006
0.060, 0.030, 0.000,	974,  36, 1010
0.070, 0.030, 0.000,	974,  44, 1018
0.080, 0.030, 0.000,	974,  48, 1022
0.090, 0.030, 0.000,	974,  64, 1038
0.100, 0.030, 0.000,	974,  72, 1046
0.110, 0.030, 0.000,	974,  80, 1054
0.120, 0.030, 0.000,	974, 100, 1074
0.130, 0.030, 0.000,	974, 100, 1074
0.140, 0.030, 0.000,	974, 120, 1094
0.150, 0.030, 0.000,	974, 128, 1102
0.160, 0.030, 0.000,	974, 144, 1118
0.170, 0.030, 0.000,	974, 160, 1134
0.180, 0.030, 0.000,	974, 180, 1154
0.190, 0.030, 0.000,	974, 188, 1162
0.200, 0.030, 0.000,	974, 200, 1174
0.040, 0.040, 0.000,	974,  28, 1002
0.050, 0.040, 0.000,	974,  36, 1010
0.060, 0.040, 0.000,	974,  40, 1014
0.070, 0.040, 0.000,	974,  48, 1022
0.080, 0.040, 0.000,	974,  52, 1026
0.090, 0.040, 0.000,	974,  68, 1042
0.100, 0.040, 0.000,	974,  76, 1050
