(145,144,143)
(145,143,142)
(141,145,142)
(141,144,145)
(138,143,144)
(138,144,139)
(136,142,143)
(136,143,137)
(134,141,142)
(134,142,135)
(133,140,144)
(133,144,141)
(132,139,144)
(132,144,140)
(131,137,143)
(131,143,138)
(130,135,142)
(130,142,136)
(129,133,141)
(129,141,134)
(128,138,139)
(127,136,137)
(126,134,135)
(125,140,133)
(124,132,140)
(124,140,125)
(123,128,139)
(123,139,132)
(122,131,138)
(122,138,128)
(121,127,137)
(121,137,131)
(120,130,136)
(120,136,127)
(119,126,135)
(119,135,130)
(118,129,134)
(118,134,126)
(117,125,133)
(117,133,129)
(116,123,132)
(116,132,124)
(115,121,131)
(115,131,122)
(114,119,130)
(114,130,120)
(113,117,129)
(113,129,118)
(112,124,125)
(111,128,123)
(110,122,128)
(110,128,111)
(109,127,121)
(108,120,127)
(108,127,109)
(107,126,119)
(106,118,126)
(106,126,107)
(105,112,125)
(105,125,117)
(104,116,124)
(104,124,112)
(103,111,123)
(103,123,116)
(102,115,122)
(102,122,110)
(101,109,121)
(101,121,115)
(100,114,120)
(100,120,108)
(99,107,119)
(99,119,114)
(98,113,118)
(98,118,106)
(97,105,117)
(97,117,113)
(96,103,116)
(96,116,104)
(95,101,115)
(95,115,102)
(94,99,114)
(94,114,100)
(93,97,113)
(93,113,98)
(92,112,105)
(92,104,112)
(91,111,103)
(91,110,111)
(90,102,110)
(90,110,91)
(89,109,101)
(89,108,109)
(88,100,108)
(88,108,89)
(87,107,99)
(87,106,107)
(86,98,106)
(86,106,87)
(85,92,105)
(85,105,97)
(84,96,104)
(84,104,92)
(83,91,103)
(83,103,96)
(82,95,102)
(82,102,90)
(81,89,101)
(81,101,95)
(80,94,100)
(80,100,88)
(79,87,99)
(79,99,94)
(78,93,98)
(78,98,86)
(77,85,97)
(77,97,93)
(76,83,96)
(76,96,84)
(75,90,91)
(74,81,95)
(74,95,82)
(73,88,89)
(72,79,94)
(72,94,80)
(71,86,87)
(70,77,93)
(70,93,78)
(69,92,85)
(68,84,92)
(68,76,84)
(67,83,76)
(67,91,83)
(66,74,82)
(66,82,90)
(65,81,74)
(65,89,81)
(64,72,80)
(64,80,88)
(63,79,72)
(63,87,79)
(62,70,78)
(62,78,86)
(61,77,70)
(61,85,77)
(60,68,92)
(60,92,69)
(59,75,91)
(59,91,67)
(58,75,59)
(58,66,90)
(58,90,75)
(57,73,89)
(57,89,65)
(56,73,57)
(56,64,88)
(56,88,73)
(55,71,87)
(55,87,63)
(54,71,55)
(54,62,86)
(54,86,71)
(53,60,69)
(53,69,85)
(53,85,61)
(52,67,76)
(52,76,68)
(51,65,74)
(51,74,66)
(50,63,72)
(50,72,64)
(49,61,70)
(49,70,62)
(48,52,68)
(48,68,60)
(47,59,67)
(47,67,52)
(46,51,66)
(46,66,58)
(45,57,65)
(45,65,51)
(44,50,64)
(44,64,56)
(43,55,63)
(43,63,50)
(42,49,62)
(42,62,54)
(41,53,61)
(41,61,49)
(40,48,60)
(39,59,47)
(38,58,59)
(38,59,39)
(38,46,58)
(37,57,45)
(36,56,57)
(36,57,37)
(36,44,56)
(35,55,43)
(34,54,55)
(34,55,35)
(34,42,54)
(33,53,41)
(33,40,60)
(33,60,53)
(32,47,52)
(32,52,48)
(31,45,51)
(31,51,46)
(30,43,50)
(30,50,44)
(29,41,49)
(29,49,42)
(28,32,48)
(28,48,40)
(27,39,47)
(27,47,32)
(26,31,46)
(26,46,38)
(25,37,45)
(25,45,31)
(24,30,44)
(24,44,36)
(23,35,43)
(23,43,30)
(22,29,42)
(22,42,34)
(21,33,41)
(21,41,29)
(20,26,38)
(20,38,39)
(20,39,27)
(19,24,36)
(19,36,37)
(19,37,25)
(18,22,34)
(18,34,35)
(18,35,23)
(17,33,21)
(17,28,40)
(17,40,33)
(16,27,32)
(16,32,28)
(15,25,31)
(15,31,26)
(14,23,30)
(14,30,24)
(13,21,29)
(13,29,22)
(12,16,28)
(12,28,17)
(11,20,27)
(11,27,16)
(10,26,20)
(10,20,11)
(10,15,26)
(9,19,25)
(9,25,15)
(8,24,19)
(8,19,9)
(8,14,24)
(7,18,23)
(7,23,14)
(6,22,18)
(6,18,7)
(6,13,22)
(5,21,13)
(5,12,17)
(5,17,21)
(4,12,5)
(4,10,11)
(4,11,16)
(4,16,12)
(3,8,9)
(3,10,4)
(3,9,15)
(3,15,10)
(2,8,3)
(2,6,7)
(2,7,14)
(2,14,8)
(1,6,2)
(1,4,5)
(1,5,13)
(1,13,6)
(0,3,4)
(0,4,1)
(0,1,2)
(0,2,3)
